userid,username,firstname,lastname,city,state,email,phone,likesports,liketheatre,likeconcerts,likejazz,likeclassical,likeopera,likerock,likevegas,likebroadway,likemusicals
19,CXQ97IWP,Amal,Landry,Lomita,NT,euismod@turpis.org,(891) 526-1468,,false,true,,true,,,false,false,true
37,ETK12XWE,Renee,Hardin,Gardena,YT,risus.Donec.egestas@Suspendissecommodo.edu,(337) 469-2711,false,,,false,,,,true,true,
56,MHU11LZP,Howard,Wiley,Oklahoma City,NU,accumsan@vulputateullamcorper.ca,(277) 315-5682,,false,true,false,false,true,false,false,false,true
73,JVA02BZU,Benedict,Francis,Marshall,NL,fermentum@Nam.ca,(664) 620-8510,false,,,false,,true,true,false,,
93,UND40VWX,Halla,Rosario,Yukon,NL,dictum@mi.org,(200) 340-0223,,,true,false,true,false,false,,,
121,AQI41NWD,Aaron,Smith,Malden,QC,a@metusInlorem.edu,(357) 322-0822,true,,,true,true,false,,,true,
140,BLA39IRS,Richard,Mcpherson,Hermitage,QC,gravida.sit.amet@ullamcorper.ca,(837) 956-9817,,false,false,,false,true,true,,true,true
167,KXI64VCR,Eleanor,Santana,Lynchburg,PE,diam.at.pretium@sedtortorInteger.org,(346) 492-9117,,,true,true,false,true,true,false,,
190,LHU64ISD,Irene,Alston,Mequon,NU,odio.Aliquam.vulputate@liberoIntegerin.com,(676) 228-8619,false,,false,false,true,true,,,true,false
3,IFT66TXU,Lars,Ratliff,High Point,ME,amet.faucibus.ut@condimentumegetvolutpat.ca,(624) 767-2465,true,false,,false,,false,true,,,true
26,XBG73AGE,Wing,Jennings,Roswell,WI,non@enimsitamet.edu,(906) 717-9510,false,true,,,,,,,false,true
49,TNP95CNK,Sigourney,Peterson,Phenix City,AK,ornare.facilisis.eget@sociisnatoquepenatibus.edu,(716) 869-7786,false,,false,,false,true,,true,true,true
70,BAL08EYF,Sierra,Berg,Falls Church,ON,elit.pede@ipsumdolorsit.org,(832) 809-9193,,,false,,,false,false,true,true,
91,VHW10NAJ,Keaton,Hinton,Minot,NS,neque.tellus.imperdiet@Fuscealiquam.edu,(560) 728-9205,,,,true,false,,true,,false,
106,JOU84NMP,Brock,Skinner,Winston-Salem,SK,Suspendisse@adipiscingelit.com,(367) 697-3636,,,true,,,,false,,,false
122,ALY77FAU,Aurelia,Ferrell,Attleboro,YT,rhoncus.Proin@consequat.ca,(795) 320-3562,false,,false,false,,,false,,true,
142,WDH70KHF,Dante,Leblanc,Beaumont,MA,iaculis.aliquet@aclibero.ca,(598) 791-9159,false,false,true,,false,,,true,,true
156,TWM35VPY,Clare,Nelson,Weymouth,NU,libero.lacus@mollis.org,(883) 482-8410,,false,false,false,true,false,false,true,true,false
175,QBL87XAD,Emmanuel,Mann,Myrtle Beach,SC,Proin.vel@tortor.edu,(652) 752-8558,false,,false,true,,,,true,,
218,ILQ00NKQ,Finn,Navarro,Revere,QC,posuere.cubilia.Curae;@acrisusMorbi.edu,(727) 398-7875,,true,true,false,,true,true,false,,
244,KVA33OVS,Gage,Estrada,Irwindale,MB,ac.mattis.semper@eteros.org,(920) 495-0872,,true,,,true,,,true,,
269,POG72QBM,Curran,Fox,Pullman,MN,neque.tellus@ut.edu,(138) 647-7725,,,,,false,,,false,true,
292,JVQ52ZHL,Brooke,Mcleod,Annapolis,HI,fringilla.est.Mauris@neque.org,(770) 339-0890,,,false,true,,true,,,,false
310,ZCS30WUI,Zephr,Ashley,Long Beach,LA,fermentum.arcu.Vestibulum@purusgravida.ca,(772) 285-4062,true,,true,false,,,false,true,,false
195,MWK08RDN,Kathleen,Sparks,Chesapeake,GA,ligula.am.feugiat@risusDonec.com,(204) 196-9809,,,true,,true,true,true,true,false,true
214,UAM52KXW,Aidan,Bryant,Monrovia,NM,ac@velitAliquamnisl.edu,(132) 673-1538,,false,,,,false,true,true,false,true
230,JMY88DYW,Josiah,Rutledge,Brea,MD,gravida.molestie.arcu@venenatis.com,(680) 517-1910,,,false,true,,,false,,,true
249,DJU99TAN,Stuart,Hogan,El Monte,WY,Quisque@amet.org,(536) 337-6278,,true,,true,false,false,,,false,true
263,VVN64UOM,Briar,Conley,Seward,NE,ipsum.primis@turpisnec.ca,(415) 346-7748,,false,false,true,false,false,false,true,,
330,FOR30CUT,Galvin,Wilkerson,Newcastle,ND,aliquet.sem@arcuVestibulumante.edu,(448) 673-4334,true,false,,,false,true,false,,true,true
351,ZVQ06WJL,Kenneth,Romero,Effingham,NT,sem@nec.edu,(927) 504-2296,false,true,true,,,,,false,true,
373,VXN49VXV,Graham,Ferrell,Brunswick,PA,lectus@eleifend.edu,(825) 805-1040,true,true,,false,,,false,,,false
388,YNP27BLO,Hayley,Mcpherson,Vancouver,AB,enim@Aliquamultrices.edu,(526) 627-3725,,,,false,,true,,false,,false
268,AQJ73NAC,Rebekah,Lee,El Paso,AB,natoque.penatibus@augue.ca,(231) 733-2522,false,,false,false,,true,,,true,
287,XFG66KTN,Austin,Gonzalez,Apple Valley,NB,mus.Proin@ornare.ca,(487) 615-0655,false,,false,,true,,false,,,false
307,BQC83JOD,Mannix,Hoover,Aurora,BC,Curabitur@duisemper.org,(699) 792-3264,false,,false,true,true,false,,,true,false
332,ZDV08XIB,Maile,Cooper,Scarborough,YT,sed.hendrerit@enimdiamvel.edu,(665) 432-8374,false,,,false,true,false,,true,,false
348,GIR19OYM,Sophia,Brock,Woodward,OR,Donec.felis@metusIn.org,(401) 748-9166,,false,false,,true,false,false,false,false,
401,FRE90ZMX,Kermit,Morris,Lawrenceville,YT,in.molestie.tortor@sodalesnisimagna.ca,(812) 221-1857,,false,true,,,,false,false,false,false
424,BDL34VOJ,Brynn,Rogers,Nanticoke,DE,eu.dui.Cum@gravida.edu,(131) 271-8373,false,,true,false,,false,,,true,
445,YRU16JSL,Destiny,Tillman,Victoria,ME,tellus.Phasellus@sagittissemper.ca,(493) 240-5810,,true,false,,true,,true,,,
465,VIC71ENY,Jared,Mcguire,Ashland,NL,Aenean.eget.metus@Vivamusnonlorem.org,(677) 846-5279,,true,,false,,true,false,false,false,false
491,KKF24RXX,Steel,Le,Lodi,NL,lacus.Quisque.purus@Sed.org,(275) 985-9424,,true,false,,,true,true,,false,false
